名称,说明,库,声明,NOTE
abort,异常终止一个进程,stdlib.h,void abort(void);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
abs,求整数的绝对值,stdlib.h,int abs(int i);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
absread,绝对磁盘扇区读数据,,"int absread(int drive, int nsects, int sectno, void *buffer);",
abswirte,绝对磁盘扇区写数据,,"int abswrite(int drive, int nsects, in tsectno, void *buffer); ",
access,确定文件的访问权限,unistd.h,"int access(const char *filename, int amode);",unistd.h 是 C 和 C++ 程序设计语言中提供对 POSIX 操作系统 API 的访问功能的头文件的名称。
acos,反余弦函数,math.h,double acos(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
allocmem,分配DOS存储段,alloc.h,"int allocmem(unsigned size, unsigned *seg);","alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
arc,画一弧线,graphics.h,"void far arc(int x, int y, int stangle, int endangle, int radius);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
asctime,转换日期和时间为ASCII码,time.h,char *asctime(const struct tm *tblock);,C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
asin,反正弦函数,math.h,double asin(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
assert,测试一个条件并可能使程序终止,assert.h,void assert(int test);,C 标准库的 assert.h头文件提供了一个名为 assert 的宏，它可用于验证程序做出的假设，并在假设为假时输出诊断消息。已定义的宏 assert 指向另一个宏 NDEBUG，宏 NDEBUG 不是 <assert.h> 的一部分。如果已在引用 <assert.h> 的源文件中定义 NDEBUG 为宏名称，则 assert 宏的定义如下：#define assert(ignore) ((void)0)
atan,反正切函数,math.h,double atan(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
atan2,计算Y/X的反正切值,math.h,"double atan2(double y, double x);",C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
atexit,注册终止函数,stdlib.h,int atexit(atexit_t func);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
atof,把字符串转换成浮点数,stdlib.h,double atof(const char *nptr);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
