名称,指定者,声明,NOTE,类/接口,抛出,
add,Collection<E>,public boolean add(E?o),确保此 collection 包含指定的元素（可选操作）。如果此 collection 由于此方法的调用而发生改变，则返回 true。（如果此 collection 不允许有重复元素，并且已经包含了指定的元素，则返回 false。）支持此操作的 collection 可能限制哪些元素能添加到此 collection 中来。需要特别指出的是，某些 collection 拒绝添加 null 元素，其他一些 collection 则对可以添加的元素类型强加限制。Collection 类应该在其文档中清楚地指定添加元素方面的所有限制。此实现始终抛出 UnsupportedOperationException。,AbstractCollection,,
addAll,Collection<E>,public boolean addAll(Collection<? extends E>?c),将指定 collection 中的所有元素添加到此 collection 中（可选操作）。如果在该操作进行过程中修改了指定的 collection，那么此操作的行为是不明确的。（这意味着，如果指定的 collection 是此 collection，并且此 collection 非空，则此调用的行为是不明确的。） 此实现在指定的 collection 上进行迭代，并依次将迭代器返回的每个对象添加到此 collection 中。注意，除非重写 add，否则此实现将抛出 UnsupportedOperationException（假定指定的 collection 非空）。,AbstractCollection,,
iterator,Collection<E>,public abstract Iterator<E> iterator(),返回在此 collection 中的元素上进行迭代的迭代器。,AbstractCollection,,
size,Collection<E>,public abstract int size(),返回此 collection 中的元素数。如果该 collection 包含多于 Integer.MAX_VALUE 的元素，则返回 Integer.MAX_VALUE。 ,AbstractCollection,,
isEmpty,Collection<E>,public boolean isEmpty(),如果此 collection 不包含元素，则返回 true。,AbstractCollection,,
contains,Collection<E>,public boolean contains(Object?o),如果此 collection 包含指定的元素，则返回 true。更正式地说，当且仅当此 collection 至少包含一个满足以下条件的元素 e 时才返回 true：(o==null ? e==null : o.equals(e))。,AbstractCollection,,
toArray,Collection<E>,public Object[] toArray(),返回包含此 collection 中所有元素的数组。如果此 collection 保证其迭代器按顺序返回其元素，那么此方法也必须按相同的顺序返回这些元素。返回的数组将是“安全的”，因为此 collection 并不维护对返回数组的任何引用。（换句话说，即使 collection 受到数组的支持，此方法也必须分配一个新的数组）。因此，调用方可以随意修改返回的数组。此实现会分配返回的数组，并迭代 collection 中的元素，将每个对象引用存储在数组的下一个连续元素中，并从元素 0 开始。,AbstractCollection,,
toArray,Collection<E>,public <T> T[] toArray(T[]?a),返回包含此 collection 中所有元素的数组；返回数组的运行时类型是指定数组的类型。如果指定的数组能容纳该 collection，则在此数组中返回 collection 的元素。否则，将根据指定数组的运行时类型和此 collection 的大小分配一个新数组。如果指定的数组能容纳 collection，并且有剩余的空间（即数组的元素比 collection 多），那么会将紧挨着 collection 尾部的元素设置为 null（这对确定 collection 的长度很有用，但只有 在调用方知道 collection 不包含任何 null 元素时才可行）。如果此 collection 保证其迭代器按顺序返回其元素，那么此方法也必须按相同的顺序返回这些元素。此实现会检查该数组是否足够大，以包含该 collection 中的元素；如果不能包含，则将分配一个具有适当大小和类型的新数组（使用反射）。然后，在该 collection 上进行迭代，将每个对象引用存储在数组的下一个连续元素中，并从元素 0 开始。如果该数组比该 collection 大，则在该 collection 尾部后面的第一个位置存储 null。 ,AbstractCollection,,
remove,Collection<E>,public boolean remove(Object?o),从此 collection 中移除指定元素的单个实例（如果存在）（可选操作）。更正式地说，如果该 collection 包含一个或多个满足 (o==null ? e==null : o.equals(e)) 的元素 e，则移除 e。如果该 collection 包含指定的元素（或等价元素，如果该 collection 由于此方法的调用发生变化），则返回 true。此实现在该 collection 上进行迭代，查找指定的元素。如果找到该元素，那么它会使用迭代器的 remove 方法从该 collection 中移除该元素。注意，如果此 collection 的 iterator 方法所返回的迭代器无法实现 remove 方法，并且此 collection 包含指定的对象，那么此实现会抛出 UnsupportedOperationException。,AbstractCollection,,
containsAll,Collection<E>,public boolean containsAll(Collection<?>?c),如果此 collection 包含指定 collection 中的所有元素，则返回 true。 此实现在指定的 collection 上进行迭代，依次检查该迭代器返回的每个元素，查看其是否包含在此 collection 中。如果包含所有元素，则返回 true；否则将返回 false。 ,AbstractCollection,,
removeAll,Collection<E>,public boolean removeAll(Collection<?>?c),从此 collection 中移除包含在指定 collection 中的所有元素（可选操作）。 此实现在此 collection 上进行迭代，依次检查该迭代器返回的每个元素，以查看其是否包含在指定的 collection 中。如果是，则使用迭代器的 remove 方法将其从此 collection 中移除。注意，如果 iterator 方法返回的迭代器无法实现 remove 方法，并且此 collection 包含一个或多个与指定 collection 共有的元素，那么此实现将抛出 UnsupportedOperationException。,AbstractCollection,,
retainAll,Collection<E>,public boolean retainAll(Collection<?>?c),仅在此 collection 中保留指定 collection 中所包含的元素（可选操作）。换句话说，移除此 collection 中未包含在指定 collection 中的所有元素。此实现在此 collection 上进行迭代，依次检查该迭代器返回的每个元素，以查看其是否包含在指定的 collection 中。如果不是，则使用迭代器的 remove 方法将其从此 collection 中移除。注意，如果 iterator 方法返回的迭代器无法实现 remove 方法，并且此 collection 包含一个或多个在指定 collection 中不存在的元素，那么此实现将抛出 UnsupportedOperationException。,AbstractCollection,,
clear,Collection<E>,public void clear(),从此 collection 中移除所有元素（可选操作）。此调用返回后，该 collection 将为空（除非它抛出异常）。此实现在此 collection 上进行迭代，并使用 Iterator.remove 操作移除每个元素。为了提高效率，多数实现可能会选择重写此方法。注意，如果此 collection 的 iterator 方法所返回的迭代器无法实现 remove 方法，并且此 collection 非空，那么此实现将抛出 UnsupportedOperationException。,AbstractCollection,,
toString,Collection<E>,public String toString(),"返回此 collection 的字符串表示形式。该字符串表示形式由 collection 元素的列表组成，这些元素按其迭代器返回的顺序排列，并用方括号 (""[]"") 括起来。相邻元素由字符 "", ""（逗号加空格）分隔。通过 String.valueOf(Object) 可以将元素转换成字符串。此实现会创建一个空字符串缓冲区，追加一个左方括号，然后在 collection 上进行迭代，依次追加每个元素的字符串表示形式。每追加一个元素后（最后一个元素除外），将追加字符串 "", ""。最后，追加一个右括号。从字符串缓冲区获取一个字符串并返回它。 ",AbstractCollection,,
submit,ExecutorService,public Future<?> submit(Runnable?task),提交一个 Runnable 任务用于执行，并返回一个表示该任务的 Future。,AbstractExecutorService,,
submit,ExecutorService,"public <T> Future<T> submit(Runnable task, T result)",提交一个 Runnable 任务用于执行，并返回一个 Future，该 Future 表示任务一旦完成后即返回给定的结果。,AbstractExecutorService,,
invokeAny,ExecutorService,"public <T> T invokeAny(Collection<Callable<T>> tasks)
",执行给定的任务，如果某个任务已成功完成（也就是未抛出异常），则返回其结果。一旦正常或异常返回后，则取消尚未完成的任务。如果此操作正在进行时修改了给定的集合，则此方法的结果是不明确的。 ,AbstractExecutorService,,
invokeAny,ExecutorService,"public <T> T invokeAny(Collection<Callable<T>>?tasks,long?timeout, TimeUnit?unit)",执行给定的任务，如果在给定的超时期满前某个任务已成功完成（也就是未抛出异常），则返回其结果。一旦正常或异常返回后，则取消尚未完成的任务。如果此操作正在进行时修改了给定的集合，则此方法的结果是不明确的。,AbstractExecutorService,,
invokeAll,ExecutorService,public <T> List<Future<T>> invokeAll(Collection<Callable<T>>?tasks),执行给定的任务，当所有任务完成时，返回保持任务状态和结果的 Future 列表。返回列表的所有元素的 Future.isDone() 为 true。注意，可以正常地或通过抛出异常来终止已完成 任务。如果正在进行此操作时修改了给定的集合，则此方法的结果是不明确的。,AbstractExecutorService,,
……,,,,,,
getClassLoadingMXBean,,public static ClassLoadingMXBean getClassLoadingMXBean(),返回 Java 虚拟机的类加载系统的托管 Bean。,ManagementFactory,,
getMemoryMXBean,,public static MemoryMXBean getMemoryMXBean(),返回 Java 虚拟机的内存系统的托管 Bean。,ManagementFactory,,
getThreadMXBean,,public static ThreadMXBean getThreadMXBean(),返回 Java 虚拟机的线程系统的托管 Bean。,ManagementFactory,,
getRuntimeMXBean,,public static RuntimeMXBean getRuntimeMXBean(),返回 Java 虚拟机的运行时系统的托管 Bean。,ManagementFactory,,
getCompilationMXBean,,public static CompilationMXBean getCompilationMXBean(),返回 Java 虚拟机的编译系统的托管 Bean。如果 Java 虚拟机没有编译系统，此方法将返回 null。,ManagementFactory,,
getOperatingSystemMXBean,,public static OperatingSystemMXBean getOperatingSystemMXBean(),返回运行 Java 虚拟机的操作系统的托管 Bean。,ManagementFactory,,
getMemoryPoolMXBeans,,public static List<MemoryPoolMXBean> getMemoryPoolMXBeans(),返回 Java 虚拟机中的 MemoryPoolMXBean 对象列表。Java 虚拟机可以有一个或多个内存池。可以在运行期间添加或删除内存池。,ManagementFactory,,
getMemoryManagerMXBeans,,public static List<MemoryManagerMXBean> getMemoryManagerMXBeans(),返回 Java 虚拟机中的 MemoryManagerMXBean 对象列表。Java 虚拟机可以有一个或多个内存管理器。可以在运行期间添加或删除内存管理器。,ManagementFactory,,
getGarbageCollectorMXBeans,,public static List<GarbageCollectorMXBean> getGarbageCollectorMXBeans(),返回 Java 虚拟机中的 GarbageCollectorMXBean 对象列表。Java 虚拟机可以有一个或多个 GarbageCollectorMXBean 对象。可以在运行期间添加或删除 GarbageCollectorMXBean。,ManagementFactory,,
getPlatformMBeanServer,,public static javax.management.MBeanServer getPlatformMBeanServer(),返回平台 MBeanServer。第一次调用此方法时，将首先通过调用 MBeanServerFactory.createMBeanServer() 方法创建平台 MBeanServer，然后通过使用类描述中定义的 MXBean 名称在此平台 MBeanServer 中注册平台 MXBean。在后续的调用中，此方法将直接返回最初创建的平台 MBeanServer。 动态创建和销毁的 MXBean（如内存池和管理器）将自动注册到平台 MBeanServer 和从中注销。 如果设置了系统属性 javax.management.builder.initial，将由指定的 MBeanServerBuilder 进行平台 MBeanServer 创建。 建议也将此平台用于注册平台 MXBean 之外的其他应用程序托管 Bean。这将允许所有 MBean 通过同一个 MBeanServer 发布，从而能够更方便地进行网络发布和发现。应该避免平台 MXBean 的名称冲突。,ManagementFactory,SecurityException - 如果安全管理器和调用方不具有 MBeanServerFactory.createMBeanServer() 所需要的权限,
newPlatformMXBeanProxy,,"public static <T> T newPlatformMXBeanProxy(javax.management.MBeanServerConnection connection,String mxbeanName,Class<T> mxbeanInterface)","返回用于给定 MXBean 名称的平台 MXBean 接口的代理，以便通过给定 MBeanServerConnection 转发其方法调用。 
此方法等效于： 

Proxy.newProxyInstance(mxbeanInterface.getClassLoader(), new Class[] { mxbeanInterface }, handler) 
其中 handler 是一个 InvocationHandler，对 MXBean 接口的方法调用将调度到其上。此 handler 会在将 MXBean 数据类型的输入参数转发到 MBeanServer 之前将其转换为其映射的开放类型，并将通过 MBeanServer 的 MXBean 方法调用的返回值由开放类型转换为在 MXBean 接口中声明的对应返回类型。 
如果 MXBean 是通知发出者（即它实现了 NotificationEmitter），则 mxbeanInterface 和 NotificationEmitter 都将由此代理实现。 

注： 
使用 MXBean 代理可以方便地远程访问正在运行的虚拟机的平台 MXBean。所有对 MXBean 代理的方法调用都被转发到 MBeanServerConnection，当连接器服务器出现通信问题时，可能在其中抛出 IOException。如果使用代理远程访问平台 MXBean 的应用程序要访问 MBeanServerConnector 接口，则应该准备捕获 IOException。 
当客户端应用程序设计为远程访问正在运行的虚拟机（其版本与该应用程序运行其上的虚拟机版本不同）的 MXBean 时，应当准备捕获 InvalidObjectException，当 MXBean 代理接收到一个枚举常数的名称，而该名称客户端应用程序中加载的枚举类又缺少此枚举常数时，将抛出此异常。 
MBeanServerInvocationHandler 或其 newProxyInstance 方法不能用于为平台 MXBean 创建代理。MBeanServerInvocationHandler 创建的代理对象不会处理类规范中描述的平台 MXBean 的属性。",ManagementFactory,"IllegalArgumentException - 如果 
·mxbeanName 没有采用有效的 ObjectName 格式，或者 
·connection 中指定的 MXBean 不是由平台提供的 MXBean，或者 
·指定的 MXBean 未在 MBeanServerConnection 中注册，或者 
·指定的 MXBean 不是给定 mxbeanInterface 的实例 
java.io.IOException - 如果在访问 MBeanServerConnection 时出现通信问题。",
ManagementPermission,,public ManagementPermission(String name),构造具有指定名称的 ManagementPermission。,ManagementPermission,IllegalArgumentException - 如果 name 参数无效。,
ManagementPermission,,"public ManagementPermission(String name,String actions)",构造新的 ManagementPermission 对象。,ManagementPermission,IllegalArgumentException - 如果参数无效。,
Manifest,,public Manifest(),构造新的空 Manifest。,Manifest,,
Manifest,,public Manifest(java.io.InputStream is),从指定的输入流构造新的 Manifest。,Manifest,java.io.IOException - 如果发生 I/O 错误,
Manifest,,public Manifest(Manifest man),构造新的 Manifest，它是指定 Manifest 的副本。,Manifest,,
getMainAttributes,,public Attributes getMainAttributes(),返回 Manifest 的主 Attributes。,Manifest,,
getEntries,,"public Map<String,Attributes> getEntries()",返回此 Manifest 中所包含条目的 Map。每个条目由一个 String 名称（键）和相关的 Attributes（值）表示。,Manifest,,
getAttributes,,public Attributes getAttributes(String name),"返回指定条目名称的 Attributes。此方法定义为： 
            return (Attributes)getEntries().get(name)",Manifest,,
clear,,public void clear(),清除此 Manifest 中的主 Attributes 和条目。,Manifest,,
write,,public void write(java.io.OutputStream out),将 Manifest 写入指定的 OutputStream。在调用此方法前，必须在 MainAttributes 中设置 Attributes.Name.MANIFEST_VERSION。,Manifest,java.io.IOException - 如果发生 I/O 错误。,
read,,public void read(java.io.InputStream is),从指定的 InputStream 读取 Manifest。读取的条目名称和属性将与当前的清单条目进行合并。,Manifest,java.io.IOException - 如果发生 I/O 错误,
equals,,public boolean equals(Object o),如果指定的 Object 也是一个 Manifest，并且具有相同的主 Attributes 和条目，则返回 true。覆盖：类 Object 中的 equals,Manifest,,
hashCode,,public int hashCode(),返回 Manifest 的哈希代码。覆盖：类 Object 中的 hashCode,Manifest,,
clone,,public Object clone(),"返回 Manifest 的浅表复制。浅表复制的实现方式如下： 
     public Object clone() { return new Manifest(this); }
 
覆盖：
类 Object 中的 clone",Manifest,,
size,,int size(),返回此映射中的键-值映射关系数。如果该映射包含多个 Integer.MAX_VALUE 元素，则返回 Integer.MAX_VALUE。,Map,,
isEmpty,,boolean isEmpty(),如果此映射未包含键-值映射关系，则返回 true。,Map,,
